Year,Trade openness (share of exports and imports in GDP)
2007,108.060067893978
2008,121.364708453698
2009,122.446142343391
2010,104.123628884226
2011,99.9825078539528
2012,91.8000986062198
2013,86.8119307835079
2014,79.3329275089136
2015,62.8885207849756
2016,53.3701552785793
2017,52.2568214486057
2018,66.3780119348461
2019,71.9403791304528
1970,96.1493279426508
1971,96.1519167214846
1972,96.1746812962859
1973,96.3082360953428
1974,96.0756008399644
1975,96.0361963610573
1976,96.1648712544739
1977,96.2884776956621
1978,96.9760386390565
1979,94.9124302632018
1980,95.839152006787
1981,96.808256601464
1982,96.9065080738724
1983,100.413833584357
1984,84.5944079563798
1985,100.472747550375
1986,101.653794139859
1987,97.3977594048326
1988,117.950457184999
1989,125.265947260494
1990,111.899093884023
1991,113.46749680936
1992,120.10392835247
1993,124.425067085912
1994,123.5325456575
1995,126.871605976541
1996,127.299852594431
1997,122.964457317985
1998,132.837188038661
1999,129.581261904898
2000,128.80322503672
2001,117.208495683141
2002,107.984290233614
2003,110.172024246281
2004,109.727089740131
2005,124.067431901898
2006,149.771565213044
2007,130.783520129764
2008,130.187739915209
2009,124.944077539274
2010,117.342634873928
2011,110.583576795415
2012,114.843463790786
2013,119.019441703299
2014,142.370212124776
2015,146.366155806443
2016,150.467348899817
2017,201.29548394015
2018,190.148067309143
2019,166.129453663154
1970,123.896658291753
1971,125.628965288567
1972,121.052168062429
1973,119.468647151973
1974,124.445690442877
1975,128.887826473356
1976,134.290488648478
1977,98.1681925962114
1978,111.551036249499
1979,149.330907821659
1980,151.098506888604
1981,161.303800020859
1982,127.928320361043
1983,122.446557497579
1984,156.059591918882
1985,165.848982380273
1986,171.930272000408
1987,157.22728121533
1988,137.801025717259
1989,143.539987339101
1990,149.271705748164
1991,151.073726943511
1992,158.993664970402
1993,156.522280739393
1994,145.629799052442
1995,145.601991454198
1996,137.264986236682
1997,135.402983125371
1998,131.319648690732
1999,130.795424412928
2000,116.815166726425
2001,116.418359320779
2002,110.796650946185
2003,116.463475286191
2004,122.461109746423
2005,120.042722664736
2006,118.04689524553
2007,115.303643724696
2008,115.145748123238
2009,103.237760403318
2010,104.706447546179
2011,103.646609932218
2012,103.776089090269
2013,107.186723136389
2014,106.690612515855
2015,94.9491184986714
2016,93.389555685035
2017,91.9227875838266
2018,92.5219997231483
2019,92.0562128674258
1950,14.3624710928955
1951,15.1334544701374
1952,11.3181999682803
1953,9.29930992655627
1954,9.07132764565457
1955,9.96060386229276
1956,17.9009276304219
1957,17.8030882420657
1958,15.0851738515973
1959,18.6405647594464
1960,17.6385939854641
1961,14.1313002267608
1962,16.753359872176
1963,18.3730871541461
1964,13.3235033405557
1965,12.2251067689119
1966,13.5904483295222
1967,14.5003435643934
1968,13.9426640901005
1969,15.0170293510789
1970,12.1738658057707
1971,11.3558971680973
1972,12.8220402575006
1973,11.780463888148
1974,11.8414127501372
1975,10.6976197198589
1976,13.6470011738985
1977,15.364152431853
1978,12.9963025785733
1979,11.6101290014334
1980,10.5984138428262
1981,13.1234567901235
1982,14.3448334107512
1983,13.7764818903476
1984,11.3496599687094
1985,16.5586782989127
1986,13.3131124906526
1987,14.1941934610232
1988,14.4718322930391
1989,18.0570714446804
1990,13.7864314308293
1991,12.6387355237098
1992,13.5302588535685
1993,14.9502840127405
1994,16.6977609399257
1995,18.2334056253552
1996,19.8324246886866
1997,21.5116461507135
1998,21.5227742288836
1999,19.7125403913073
2000,20.7756651444436
2001,20.0572270045448
2002,37.424220953628
2003,36.187579378075
2004,40.6926461229286
2005,40.5668918826308
2006,40.4334798646869
2007,40.9451706151667
2008,40.4026733742946
2009,34.057126901573
2010,34.9710132615002
2011,35.2061550002734
2012,30.5265423728377
2013,29.3339290009027
2014,28.4067936450875
2015,22.4862260891101
2016,26.0938878484497
2017,25.2233319639442
2018,30.7004460241119
2019,32.3936659632091
1990,81.3537421727463
1991,100.613420130195
1992,100.247809682164
1993,95.5095930781197
1994,115.816881969299
1995,87.836096358855
1996,80.9858262140888
1997,79.8989420947022
1998,73.1432661724454
1999,72.1331639579746
2000,75.7956476729401
2001,73.8333323836801
2002,78.6245387836757
2003,85.143082961005
2004,77.7889980561956
2005,74.7177663742335
2006,64.7007415406272
2007,59.9218389035803
2008,56.7555754758736
2009,59.5385956960187
2010,67.8146989650567
2011,73.0955486177322
2012,75.9667433930304
2013,76.5561957927212
2014,75.6116848388122
2015,71.5932653468932
2016,75.9178800280663
2017,86.8301413895134
2018,91.114529295092
2019,91.4322855663883
1970,178.928922567458
1971,178.92888210462
1972,178.928934597107
1973,178.928951336182
1974,178.928759907354
1975,178.929092997933
1976,178.92900102885
1977,178.92818551044
1978,178.93009324586
1979,178.928724894048
1980,178.925738185892
1981,178.935816480188
1982,178.924619464068
1983,178.916778676081
1984,178.966050995907
1985,178.891028724256
1986,178.893256185744
1987,179.113868506282
1988,178.665961674666
1989,178.899938643478
1990,179.775705098999
1991,177.322241200161
1992,179.601869680119
1993,182.403004126491
1994,169.961849853476
1995,186.440755046843
1996,190.806407565289
1997,183.608230626287
1998,177.596250065138
1999,179.0141708545
2000,158.044573126775
2001,151.399614288322
2002,146.085480535553
2003,145.568693629718
2004,145.376038395297
2005,159.14475698104
2006,155.759096068913
2007,154.722172670326
2008,157.903116040605
2009,151.521299469841
2010,149.818318445231
2011,163.926394651074
2012,159.631984811696
2013,163.462671753358
2014,162.558234440848
2015,147.660024761238
2016,142.124733937351
2017,144.965735082559
2018,144.916831269246
2019,144.002433433448
1950,44.4660890647968
1951,42.397110798128
1952,31.3814208814405
1953,31.3055234646798
1954,31.8739273628365
1955,29.1440253311643
1956,28.512401947759
1957,27.3133266085436
1958,25.4260394074583
1959,27.0368161567926
1960,27.4138161722725
1961,26.5844922314932
1962,26.8410294567139
1963,28.7105075362524
1964,28.485871778643
1965,28.0661454080737
1966,26.7907401756546
1967,26.7842730981808
1968,25.2913873034777
1969,26.1970118102059
1970,25.5916058937342
1971,24.7931840661811
1972,25.1693569461475
1973,26.3621582160871
1974,29.01009022176
1975,26.9000648773338
1976,28.66956720861
1977,28.2150992670536
1978,29.6651403610851
1979,32.3441672927996
1980,31.6487229036032
1981,30.3671689045292
1982,29.2148849897175
1983,28.5821406143089
1984,32.5617520385408
1985,33.0890716261912
1986,32.5850168703711
1987,32.6345364166847
1988,32.130350909175
1989,32.2202275569202
1990,32.2555117521316
1991,33.1102641795285
1992,35.4665193170798
1993,36.5261284317788
1994,37.8015516603413
1995,38.3323319414934
1996,38.0748112251054
1997,40.0704305582242
1998,39.1346484106034
1999,41.0290111758291
2000,44.3652083634724
2001,41.5572758742756
2002,40.2961446264483
2003,37.1207343685942
2004,39.2711826369216
2005,41.6042270907139
2006,42.0514396834877
2007,42.8703326982714
2008,45.7979042094362
2009,40.6496717288741
2010,41.9067330593482
2011,43.2103466719308
2012,41.2084303462784
2013,42.506490337998
2014,41.4943730799132
2015,40.7776414241104
2016,41.8187203488936
2017,43.2626476825205
2018,45.7104594710859
2019,43.9778527458425
1950,29.6086501507141
1951,34.0541338837679
1952,27.4685903828891
1953,30.8774890049285
1954,35.7293350315027
1955,38.44767891139
1956,42.2875190768688
1957,44.2445880155183
1958,41.3719703792289
1959,41.051440180379
1960,44.2402876449985
1961,42.7537160777327
1962,43.329193297384
1963,44.075612843528
1964,44.4935799882882
1965,45.603852265216
1966,46.2633451827533
1967,45.6721251641727
1968,46.3320129932864
1969,49.8214708055847
1970,54.8603918092747
1971,54.3804711326222
1972,54.2960192471288
1973,54.4568201241713
1974,59.5677316814149
1975,56.5991340738128
1976,59.9162816378491
1977,60.2775957443106
1978,59.6679878089839
1979,63.3172192120144
1980,66.825006068052
1981,68.3965502954477
1982,64.117113950245
1983,62.4721850177738
1984,66.5750060880496
1985,70.0831615487263
1986,64.0145971826708
1987,62.8537228112228
1988,66.5625503858208
1989,70.5383588133391
1990,71.4883694699992
1991,70.048405887686
1992,67.6301674884837
1993,63.2650505580294
1994,65.9870933391865
1995,68.25660110272
1996,70.0836711206827
1997,74.8676902155828
1998,76.9271493915785
1999,78.2601403439716
2000,85.3604956179232
2001,87.5366647639352
2002,86.9481679996606
2003,86.3873824162825
2004,90.7923456929297
2005,94.0338056833054
2006,98.0883112053436
2007,100.733254061926
2008,102.073682731706
2009,87.0622309742796
2010,99.0197962369563
2011,105.102788629725
2012,105.152177427838
2013,104.066414086373
2014,103.503535251069
2015,102.42731538918
2016,100.982078278741
2017,104.944224211506
2018,108.110820195531
2019,107.779781982421
1990,83.0968622100955
1991,86.8562874251497
1992,140.800813261136
1993,133.420676194169
1994,143.033873940622
1995,85.8937107507732
1996,80.8478248140992
1997,82.0807528148233
1998,77.2296853474083
1999,69.8252752259555
2000,78.5502638774083
2001,78.8151854917601
2002,92.8181443298969
2003,107.551948506262
2004,121.507115894117
2005,115.841884607706
2006,105.262399846369
2007,96.6418081486575
2008,89.2428968637573
2009,74.7440416836369
2010,74.9859884610856
2011,80.5080450059521
2012,78.263069540422
2013,74.6758447629851
2014,69.4832251953347
2015,72.6015079073189
2016,90.0773187345677
2017,90.4023156823216
2018,91.6725765369825
2019,86.0438780132467
1970,145.573769055082
1971,148.905653853806
1972,146.552190802905
1973,141.263462395045
1974,158.901308527479
1975,139.491801286902
1976,126.931128359475
1977,95.6842392318486
1978,96.1120948975189
1979,113.947226754813
1980,130.478234627493
1981,137.222000294921
1982,144.209240789518
1983,142.600475735528
1984,129.325212875256
1985,132.166018168318
1986,124.856166446198
1987,125.03780679416
1988,124.253520942509
1989,91.1142124016303
1990,90.4815330249256
1991,87.0784302307998
1992,83.3871361875256
1993,85.0229564719478
1994,85.7560670606129
1995,85.656672606229
1996,78.4280983614067
1997,79.7343819089129
1998,77.7263946613593
1999,75.7024427699476
2000,79.6446480529932
2001,72.5011421289283
2002,70.277665180381
2003,71.0634603893981
2004,76.0018994401069
2005,81.3962709176308
2006,87.5502837528154
2007,88.0131471139448
2008,87.4292228766863
2009,76.5207373271889
2010,78.6752907149508
2011,88.3341277407054
2012,84.2507345739471
2013,84.9352787555354
2014,86.7732819755931
2015,76.1732759504048
2016,73.9212809657543
2017,76.3391963620934
2018,77.7977438354797
2019,75.9198161840516
1970,173.999222936094
1971,173.38513615882
1972,174.919870722045
1973,173.692662283835
1974,171.542875386369
1975,179.524074084063
1976,170.01103802827
1977,165.093513512942
1978,155.846737449946
1979,156.281393187335
1980,170.129290367322
1981,181.859034523525
1982,162.628867884995
1983,136.098003743658
1984,139.81777151727
1985,138.244181165939
1986,132.244677775007
1987,149.313952691738
1988,134.913434444829
1989,141.926624477072
1990,159.355113746269
1991,155.498277822697
1992,158.398162472038
1993,144.175827823033
1994,133.457804331591
1995,131.42756377601
1996,141.918468841836
1997,128.950047262415
1998,113.541349954393
1999,123.847772711329
2000,135.809015366855
2001,127.026111251522
2002,131.13365515613
2003,128.091486028079
2004,140.737231878822
2005,148.313493515756
2006,147.104197221763
2007,137.78497173425
2008,145.882680504518
2009,117.963713824802
2010,120.472394522656
2011,174.155185016794
2012,185.884505351726
2013,191.872026888323
2014,175.567976791036
2015,154.557261627062
2016,139.478263965241
2017,143.086667256454
2018,151.405312434884
2019,141.991953860527
1959,11.0445608748839
1960,12.7500054583623
1961,16.6946597084384
1962,14.8694940975632
1963,16.0000884594709
1964,16.7018458247749
1965,16.5371655828976
1966,15.9826595953427
1967,17.2074920948991
1968,15.7196417561705
1969,16.5165125957642
1970,14.6491286367012
1971,11.9744052953978
1972,13.654681516684
1973,12.9422417925732
1974,10.3051157361249
1975,8.50760269391538
1976,16.991490729465
1977,13.9347649229505
1978,16.2208430059866
1979,16.6224271267057
1980,20.7324650975295
1981,20.8656804026139
1982,22.3961758191526
1983,22.1291714788068
1984,19.4307220489011
1985,19.667833850941
1986,18.0805464168921
1987,17.6767492193346
1988,18.6155641593667
1989,19.5594237424913
1990,20.2705299668107
1991,18.9720365253972
1992,19.934081745328
1993,23.1214804179628
1994,22.8659203024843
1995,28.2094572443908
1996,29.7775426276424
1997,30.0116767477767
1998,31.60612857621
1999,31.8524149169083
2000,33.2072749972584
2001,36.882222555276
2002,33.3230112627699
2003,34.2491069768092
2004,36.2782759328006
2005,39.6270909370473
2006,38.1119217476578
2007,39.9490032460913
2008,42.4622169993043
2009,40.092796223023
2010,37.8028426708321
2011,47.4208498356898
2012,48.1109245226515
2013,46.2964016377363
2014,44.5140801968096
2015,42.909780708855
2016,37.9543007335199
2017,35.3039965170835
2018,38.2448929879071
2019,36.7592997489934
1960,84.3320411786018
1961,80.044809011009
1962,88.6895083812843
1963,91.2498817367265
1964,88.0218861168573
1965,98.9144866517314
1966,105.878423702025
1967,99.1118469558198
1968,106.661281269738
1969,106.574605236953
1970,105.27993276954
1971,102.74506962405
1972,108.712693943438
1973,100.513882121849
1974,99.8738945736626
1975,93.4679522177214
1976,93.7321070803587
1977,93.3486239809456
1978,106.680461312833
1979,119.459473728314
1980,120.163212861718
1981,108.684729722529
1982,110.099145824689
1983,118.281361363587
1984,117.6975943192
1985,108.206796608223
1986,93.676892958053
1987,77.3245619523208
1988,81.9728991414754
1989,85.0831297105017
1990,85.1900338328637
1991,81.7248946589719
1992,75.4202362531794
1993,79.9691634054917
1994,82.6123094143137
1995,89.1968735166739
1996,90.6592332753115
1997,92.9394264413326
1998,85.4492406064957
1999,85.5874880024802
2000,87.9174149769802
2001,83.8187286330408
2002,81.0156603201101
2003,87.4368145695261
2004,89.3412734008031
2005,94.7386145033351
2006,96.5168526005051
2007,91.1435601198117
2008,94.543307662567
2009,88.4574474040733
2010,86.9225929646023
2011,86.5920948107435
2012,87.225873625301
2013,92.1984071837084
2014,89.7633268389281
2015,87.5217391304348
2016,78.6915113871636
2017,76.4952843927965
2018,74.7596673678416
2019,77.3496037099044
1990,86.6071428570982
1991,67.9999999999889
1992,113.287298598034
1993,146.062926422226
1994,150.290729912564
1995,100.325243115663
1996,93.608433971556
1997,121.409384109042
1998,118.934647938019
1999,116.881473717188
2000,128.589502128165
2001,136.683892873794
2002,126.989184928593
2003,129.731119058575
2004,137.485888911618
2005,114.994526932397
2006,120.228320217872
2007,123.960723102548
2008,125.35914396226
2009,108.635600439616
2010,115.917962056484
2011,157.974249332637
2012,153.0852572928
2013,119.815982940909
2014,110.651419186895
2015,115.914817991546
2016,125.209287090965
2017,133.367816817925
2018,139.393714697184
2019,133.345939713608
1950,55.3256248003611
1951,66.5842652676441
1952,61.3573107758117
1953,57.9896038280151
1954,59.7064986233285
1955,64.7633749170858
1956,70.2362220243848
1957,69.4201713836775
1958,63.1175253205188
1959,64.2923089429596
1960,68.5720252133847
1961,70.3303049072832
1962,70.1870431004939
1963,72.2524253039534
1964,74.452688403328
1965,74.4434815998828
1966,75.3513467515422
1967,74.4433939791478
1968,79.3535165034374
1969,85.2660138874314
1970,87.7273031845767
1971,85.5840823239381
1972,85.2144401383493
1973,94.1440941422475
1974,105.271078180426
1975,91.5237493415667
1976,96.8157576457849
1977,95.6775231200353
1978,92.3126050959808
1979,101.572970398368
1980,103.05544754789
1981,110.221352412671
1982,117.925348638299
1983,120.395562979515
1984,128.230735644112
1985,123.876985493967
1986,112.327024402852
1987,109.919100321937
1988,116.422946887628
1989,124.936932434935
1990,121.467850834948
1991,118.590137934676
1992,115.069287800528
1993,109.01273725947
1994,113.232299665071
1995,116.378567821327
1996,119.212775757383
1997,125.68894005618
1998,124.709122626318
1999,125.169990540949
2000,142.230135067034
2001,139.576839834619
2002,136.085149488081
2003,132.715552833888
2004,136.918405348432
2005,144.529050669983
2006,149.567509299511
2007,152.468446875303
2008,161.088447790447
2009,135.406040531897
2010,149.997673074386
2011,161.493723664633
2012,160.746030229324
2013,157.850845041743
2014,158.783215919076
2015,154.192546509323
2016,157.66502598438
2017,165.34775639333
2018,166.237087316477
2019,163.057248868288
1970,81.1390541303174
1971,82.4763199565436
1972,86.1242098107979
1973,74.8166354073207
1974,86.4881129533802
1975,97.0678828091194
1976,87.8121132257573
1977,97.9505327317157
1978,89.8766901478588
1979,88.9201383368579
1980,72.9898957378629
1981,75.9032936775359
1982,69.9242526721444
1983,67.2060286972555
1984,101.178516915378
1985,107.50026709173
1986,102.609429514138
1987,111.143097548069
1988,117.47784790855
1989,114.153603821066
1990,109.80580444797
1991,112.535251226511
1992,136.905920636338
1993,111.759541428986
1994,104.895519427312
1995,99.896735317606
1996,100.267573866762
1997,108.487609305909
1998,109.514986961958
1999,122.41168229131
2000,126.645259753095
2001,120.449318997824
2002,119.653190609437
2003,119.952610390225
2004,109.746152877792
2005,118.65023835477
2006,123.525069910168
2007,124.131809042857
2008,133.713133580602
2009,109.455524346924
2010,117.702232146978
2011,126.947686977745
2012,128.256386488831
2013,131.95269032127
2014,127.588105183134
2015,125.077873812417
2016,114.214183236307
2017,113.411498818868
2018,117.567851921396
2019,115.064511340518
1959,23.1715638444145
1960,35.4983736801915
1961,27.7142618643695
1962,25.5874313604762
1963,29.1426387236267
1964,34.4147459413752
1965,44.3552004518962
1966,46.2344616094808
1967,52.7925579122882
1968,54.5021324425726
1969,62.8094109379461
1970,73.1010908641994
1971,81.6580999195366
1972,72.7373396983134
1973,75.5172722636114
1974,70.4720029771871
1975,85.5284625402403
1976,72.465318498328
1977,79.1438512867758
1978,78.9974873939921
1979,84.8187738211846
1980,78.4501633090213
1981,72.5929741750281
1982,68.0599945147573
1983,53.2846448446903
1984,60.5394922877448
1985,70.2209065393882
1986,62.9558731805428
1987,61.680254755755
1988,65.4237254293624
1989,40.2639623901226
1990,45.7201821443005
1991,51.3447168454226
1992,56.7407458060088
1993,55.3817991307995
1994,69.2632717198997
1995,64.8032161241695
1996,56.6160357084356
1997,58.9371313977368
1998,59.9952614207694
1999,64.6662782026393
2000,55.9937174961609
2001,57.2731335291878
2002,51.4796479131243
2003,48.7220912491745
2004,46.3733451787297
2005,45.8190200901103
2006,46.8515003339695
2007,57.8082750077597
2008,56.4980407822845
2009,52.6983339778755
2010,60.9927794016987
2011,54.1801029936553
2012,57.3416658932412
2013,63.9710500404945
2014,73.2033561664381
2015,56.7563131849476
2016,58.9869283378276
2017,61.4765969582551
2018,61.7951944898186
2019,54.5559109371659
1970,93.8736381277861
1971,94.0163101841085
1972,93.7222162018654
1973,93.6775040271355
1974,93.7937853295519
1975,94.1583742453621
1976,94.729671255088
1977,92.2517464144633
1978,93.4539430116309
1979,94.3751917157906
1980,95.981319292295
1981,95.1305910772146
1982,92.4174529703889
1983,90.0708048085749
1984,94.7676495729559
1985,90.1583011714041
1986,88.9912836171943
1987,88.969069715101
1988,90.6637281512938
1989,90.3522750805388
1990,90.9207943308242
1991,84.5576538998575
1992,85.267057734506
1993,86.0718662848899
1994,87.9286152579482
1995,83.1120582737666
1996,83.6076450626382
1997,88.4639111716265
1998,89.2264276176664
1999,86.3081824415772
2000,87.7219155743859
2001,85.8735262735896
2002,96.5769363369355
2003,99.9230251103242
2004,91.3168889069198
2005,77.940747249324
2006,85.1693599420133
2007,86.3402305581405
2008,79.2808431806434
2009,74.607948610938
2010,74.5950822981995
2011,76.2704373631531
2012,73.7823077697615
2013,76.270106921624
2014,76.5167449178161
2015,73.2954941117355
2016,72.7499042586994
2017,72.5290539387333
2018,76.063705387722
2019,77.1572569689725
1970,57.446714604135
1971,57.404154851409
1972,57.4301902826411
1973,57.5057985387416
1974,57.2764756116415
1975,57.508296680553
1976,57.7326235743626
1977,56.5885066731788
1978,58.2037598177179
1979,58.4056040089362
1980,53.1561565041061
1981,63.0495190732322
1982,59.0111362940761
1983,55.0396565610276
1984,57.4771474160785
1985,64.9326538553759
1986,67.9599554779564
1987,62.4510200385515
1988,81.3016749278537
1989,70.3682658635434
1990,61.8490767480326
1991,76.09497317189
1992,92.2046478190106
1993,79.1060836378042
1994,70.6185378186054
1995,82.7344017060053
1996,82.4743810739803
1997,82.6914689730181
1998,84.7365906484737
1999,83.771213965018
2000,77.6646734433645
2001,74.0342039399407
2002,73.2002665137723
2003,76.3574135751209
2004,93.191911549804
2005,102.698072813974
2006,113.597305241945
2007,112.265563123516
2008,106.748883902589
2009,106.906208252876
2010,113.184956793026
2011,111.691457226345
2012,101.764686421415
2013,102.735973933314
2014,98.3093440013566
2015,102.191757025719
2016,85.4050039247637
2017,82.8098375933798
2018,86.7117154923693
2019,79.4251154170871
1950,31.7028021764197
1951,35.2690957343944
1952,35.0574672092839
1953,13.6732082079035
1954,9.67808959826257
1955,10.3078915634637
1956,28.2202429639064
1957,51.5694757148526
1958,39.9718952354969
1959,45.9515642218241
1960,38.8546073319769
1961,38.9269345697307
1962,41.6504198671494
1963,42.9601547749728
1964,46.0040020840493
1965,48.7301351361512
1966,49.4316445152694
1967,50.7765895427498
1968,48.7301393037906
1969,50.1518125995499
1970,50
1971,46.1538461538462
1972,47.058823529412
1973,53.8461538461531
1974,60.4651162790698
1975,58.3333333333333
1976,56.3636363636364
1977,55.3846153846152
1978,53.3333333333332
1979,52.2222222222221
1980,46.3414634146341
1981,45.1612903225807
1982,60.1990049751244
1983,55.434039644566
1984,54.4910437478471
1985,45.665430289576
1986,48.8802784910155
1987,46.227156612301
1988,41.9062514367683
1989,45.6547746326032
1990,46.7032611243568
1991,48.4449614287589
1992,49.1096574906877
1993,47.4671899914142
1994,48.8601823708207
1995,49.7378625717388
1996,49.8562900783369
1997,50.4696626883683
1998,52.2811631041848
1999,44.1682564616807
2000,45.5977749608498
2001,45.2278226139569
2002,49.3502603570157
2003,51.9678363372439
2004,57.464266079188
2005,67.641949631153
2006,74.5378090809807
2007,76.0620916618936
2008,82.8668367938754
2009,68.6269274688442
2010,75.5113290202791
2011,82.4803954315576
2012,84.9487611760033
2013,81.2309075716739
2014,85.2644695963446
2015,67.9328451871905
2016,56.4010608315248
2017,56.7045932442078
2018,57.1099646331578
2019,56.3973067329497
1990,98.6760500196265
1991,99.0079300601525
1992,97.2258476613816
1993,99.7943988192422
1994,100.003540276207
1995,91.8796126409026
1996,107.5000435181
1997,100.630964762582
1998,99.5496161829394
1999,99.2733385385763
2000,103.6027555262
2001,103.779698121846
2002,95.2767695091644
2003,113.457846458454
2004,96.3373751724927
2005,103.261474464928
2006,98.0395344019629
2007,83.5518586050315
2008,86.1628796513852
2009,73.7474943951743
2010,80.9682160466189
2011,87.8363439653938
2012,88.1451090161797
2013,87.9312409170614
2014,90.5522795868598
2015,89.3225111002997
2016,89.2672555896587
2017,97.8741730977966
2018,99.2240215890319
2019,95.2585270776408
1960,69.6710439221247
